transaction_id,customer_id,purchase_date,product_category,product_model,brand,brand_origin,brand_tier,product_status,price_tzs,quantity,total_amount_tzs,quality_score,price_factor,quality_factor,brand_preference,cultural_compatibility,social_influence,status_factor,origin_factor,utility_score,purchase_channel,payment_method,age,gender,region,religion,ethnic_group,education,income_bracket,mobile_money,tech_savvy_score,brand_loyalty,price_sensitivity,quality_sensitivity,cultural_preference_strength,price_per_unit,is_weekend_purchase,purchase_month,purchase_year,customer_satisfaction,is_repeat_customer
TRX_000028,CUST_04930,2025-02-18,Mobile Phone,Nokia 5.4,Nokia,Finland,Mid-Range,New,399988,1,399988,6.7,0.33,0.234,0.56,1.0,0.604,1.0,1.0,0.568,Physical Store,Cash,31,Female,Morogoro,Christian,Gogo,Secondary,"500,001-1,000,000",Airtel Money,5,0.12,0.67,0.35,0.3,399988,0,2,2025,0.72,1
TRX_000029,CUST_01559,2025-01-30,Mobile Phone,Tecno Spark 9,Tecno,China,Mid-Range,New,599046,1,599046,7.7,0.0,0.439,0.71,1.0,0.944,1.0,1.0,0.446,Online,Cash,20,Female,Dar es Salaam,Christian,Sukuma,Master+,"200,000-500,000",Airtel Money,5,0.22,0.75,0.57,0.3,599046,0,1,2025,0.74,1
TRX_000030,CUST_04742,2025-02-20,Mobile Phone,Samsung Galaxy A23,Samsung,South Korea,Premium,New,1672130,1,1672130,8.0,0.0,0.296,0.775,0.9,1.105,1.0,1.0,0.275,Online,Mobile Money,28,Female,Dar es Salaam,Muslim,Others,Bachelor,"<200,000",Airtel Money,2,0.15,0.88,0.37,0.3,1672130,0,2,2025,0.55,1
TRX_000031,CUST_00507,2025-01-20,Mobile Phone,Xiaomi Redmi Note 10,Xiaomi,China,Mid-Range,New,430684,1,430684,7.6,0.236,0.433,0.56,1.0,0.897,1.0,1.0,0.487,Physical Store,Cash,29,Female,Zanzibar,Christian,Chagga,Bachelor,"200,000-500,000",Airtel Money,3,0.12,0.71,0.57,0.5,430684,0,1,2025,0.77,1
TRX_000032,CUST_04845,2025-01-14,Mobile Phone,Tecno Camon 19,Tecno,China,Mid-Range,New,576983,1,576983,7.6,0.0,0.608,0.725,0.9,0.804,1.0,1.0,0.601,Physical Store,Cash,24,Male,Dar es Salaam,Muslim,Haya,Primary,"200,000-500,000",None,2,0.25,0.74,0.8,0.5,576983,0,1,2025,0.74,1
TRX_000033,CUST_04207,2025-02-23,Mobile Phone,Oppo A15,Oppo,China,Mid-Range,New,390266,1,390266,6.2,0.317,0.391,0.65,1.0,0.654,1.0,1.0,0.412,Physical Store,Cash,28,Female,Mwanza,Christian,Sukuma,Primary,"500,001-1,000,000",Tigo Pesa,2,0.3,0.7,0.63,0.0,390266,1,2,2025,0.69,1
TRX_000034,CUST_00415,2024-12-27,Mobile Phone,Infinix Note 10,Infinix,China,Mid-Range,New,405683,1,405683,6.5,0.422,0.41,0.645,0.9,0.695,1.0,1.0,0.698,Mobile,Mobile Money,15,Male,Mwanza,Muslim,Others,No formal,"500,001-1,000,000",M-Pesa,4,0.09,0.57,0.63,0.3,405683,0,12,2024,0.71,0
TRX_000035,CUST_03169,2025-02-23,Mobile Phone,iPhone 14,Apple,USA,Premium,New,2318967,1,2318967,9.8,0.0,0.48,0.885,1.0,1.007,1.0,1.0,0.453,Physical Store,Mobile Money,39,Male,Tanga,Christian,Sukuma,Secondary,"<200,000",None,4,0.37,0.77,0.49,0.7,2318967,1,2,2025,0.52,1
TRX_000036,CUST_00501,2025-02-17,Mobile Phone,Samsung Galaxy A23,Samsung,South Korea,Premium,New,2450154,1,2450154,9.5,0.0,0.418,0.92,1.0,1.035,1.0,1.0,0.454,Physical Store,Mobile Money,46,Male,Mwanza,Christian,Others,Secondary,"<200,000",M-Pesa,4,0.44,0.78,0.44,0.0,2450154,0,2,2025,0.48,1
TRX_000037,CUST_04333,2024-12-18,Mobile Phone,iPhone 12,Apple,USA,Premium,New,2036535,1,2036535,8.9,0.0,0.418,0.805,0.9,1.189,1.0,0.8,0.484,Physical Store,Mobile Money,30,Female,Morogoro,Muslim,Gogo,Master+,"200,000-500,000",M-Pesa,3,0.21,0.92,0.47,1.0,2036535,0,12,2024,0.53,1
TRX_000038,CUST_02358,2025-02-28,Mobile Phone,iPhone 12,Apple,USA,Premium,New,1139645,1,1139645,8.5,0.25,0.688,0.81,1.0,1.178,1.0,1.0,0.695,Physical Store,Mobile Money,23,Female,Mbeya,Christian,Chagga,Secondary,"200,000-500,000",M-Pesa,1,0.22,0.79,0.81,0.5,1139645,0,2,2025,0.68,0
TRX_000039,CUST_04369,2025-02-24,Mobile Phone,Infinix Note 11,Infinix,China,Mid-Range,New,306713,1,306713,6.1,0.663,0.47,0.675,1.0,0.594,1.0,1.0,0.701,Physical Store,Card,39,Female,Dodoma,Christian,Others,No formal,"1,000,001-2,000,000",M-Pesa,4,0.15,0.44,0.77,0.3,306713,0,2,2025,0.7,1
TRX_000040,CUST_00286,2025-02-03,Mobile Phone,Infinix Hot 10,Infinix,China,Mid-Range,New,418060,1,418060,7.5,0.519,0.592,0.685,1.0,0.831,1.0,1.0,0.734,Physical Store,Mobile Money,19,Female,Tanga,Christian,Others,Primary,"1,000,001-2,000,000",M-Pesa,5,0.17,0.46,0.79,0.7,418060,0,2,2025,0.77,1
TRX_000041,CUST_02931,2025-01-13,Mobile Phone,Samsung Galaxy A03,Samsung,South Korea,Premium,New,803107,1,803107,10.0,0.511,0.9,0.735,0.9,0.878,1.0,1.0,0.743,Physical Store,Cash,15,Female,Dar es Salaam,Muslim,Others,No formal,"200,000-500,000",None,4,0.07,0.73,0.9,0.0,803107,0,1,2025,0.84,1
TRX_000042,CUST_01596,2024-12-13,Mobile Phone,Oppo A15,Oppo,China,Mid-Range,New,480309,1,480309,6.1,0.58,0.214,0.74,1.0,0.863,1.0,1.0,0.469,Physical Store,Mobile Money,38,Female,Mbeya,Christian,Sukuma,Secondary,"1,000,001-2,000,000",M-Pesa,2,0.48,0.35,0.35,0.0,480309,0,12,2024,0.67,1
TRX_000043,CUST_04550,2025-01-17,Mobile Phone,Xiaomi Redmi Note 10,Xiaomi,China,Mid-Range,Used,397267,1,397267,6.2,0.583,0.211,0.71,1.0,0.587,0.6,1.0,0.723,Physical Store,Cash,33,Female,Tanga,Christian,Chagga,Primary,"500,001-1,000,000",M-Pesa,3,0.42,0.42,0.34,0.0,397267,0,1,2025,0.69,1
TRX_000044,CUST_00277,2025-02-09,Mobile Phone,Xiaomi Redmi Note 10,Xiaomi,China,Mid-Range,New,474509,1,474509,6.4,0.0,0.371,0.54,1.0,0.699,1.0,1.0,0.384,Online,Cash,20,Male,Dar es Salaam,Christian,Others,Diploma,"200,000-500,000",M-Pesa,4,0.08,0.88,0.58,0.7,474509,1,2,2025,0.69,1
TRX_000045,CUST_01642,2025-01-11,Mobile Phone,Samsung Galaxy A13,Samsung,South Korea,Premium,New,2404739,1,2404739,10.0,0.0,0.34,0.75,0.9,1.192,1.0,1.0,0.448,Physical Store,Cash,38,Male,Zanzibar,Muslim,Sukuma,Diploma,"<200,000",M-Pesa,2,0.1,0.94,0.34,0.3,2404739,1,1,2025,0.52,1
TRX_000046,CUST_03822,2025-02-27,Mobile Phone,Samsung Galaxy A03,Samsung,South Korea,Premium,New,1839617,1,1839617,8.8,0.0,0.361,0.875,1.0,0.832,1.0,1.0,0.455,Online,Mobile Money,19,Female,Arusha,Christian,Others,Primary,"200,000-500,000",M-Pesa,3,0.35,0.88,0.41,0.3,1839617,0,2,2025,0.56,1
TRX_000047,CUST_03308,2025-01-10,Mobile Phone,Infinix Hot 10,Infinix,China,Mid-Range,New,488543,1,488543,7.2,0.096,0.295,0.81,0.9,0.762,1.0,1.0,0.415,Physical Store,Cash,33,Male,Mbeya,Muslim,Others,Secondary,"<200,000",M-Pesa,2,0.42,0.74,0.41,0.7,488543,0,1,2025,0.73,1
TRX_000048,CUST_02156,2025-02-27,Mobile Phone,Tecno Camon 18,Tecno,China,Mid-Range,New,373496,1,373496,7.9,0.094,0.435,0.895,0.9,0.501,1.0,1.0,0.426,Online,Cash,23,Male,Dodoma,Muslim,Makonde,Diploma,"<200,000",M-Pesa,4,0.59,0.97,0.55,0.5,373496,0,2,2025,0.8,1
TRX_000049,CUST_03960,2025-02-27,Mobile Phone,Huawei P40,Huawei,China,Premium,New,2017339,1,2017339,8.7,0.0,0.661,0.715,0.9,0.56,1.0,1.0,0.551,Online,Mobile Money,23,Female,Arusha,Muslim,Sukuma,Secondary,"200,000-500,000",Airtel Money,2,0.43,0.9,0.76,0.3,2017339,0,2,2025,0.52,1
TRX_000050,CUST_04044,2025-02-03,Mobile Phone,Oppo A53,Oppo,China,Mid-Range,New,464365,1,464365,6.2,0.663,0.539,0.55,1.0,0.879,1.0,1.0,0.556,Physical Store,Cash,26,Male,Tanga,Christian,Sukuma,Primary,">2,000,000",M-Pesa,4,0.1,0.29,0.87,0.5,464365,0,2,2025,0.68,1
TRX_000051,CUST_01971,2024-12-05,Mobile Phone,Nokia 5.4,Nokia,Finland,Mid-Range,New,371032,1,371032,6.2,0.276,0.279,0.685,0.9,0.576,1.0,1.0,0.453,Physical Store,Mobile Money,36,Male,Mbeya,Muslim,Nyamwezi,No formal,"200,000-500,000",Tigo Pesa,5,0.37,0.78,0.45,0.5,371032,0,12,2024,0.7,1
TRX_000052,CUST_01481,2025-01-27,Mobile Phone,Samsung Galaxy A03,Samsung,South Korea,Premium,New,2424142,1,2424142,9.9,0.152,0.426,0.875,0.9,0.769,1.0,1.0,0.654,Online,Mobile Money,35,Male,Dar es Salaam,Muslim,Nyamwezi,Primary,"500,001-1,000,000",Halopesa,4,0.35,0.42,0.43,0.3,2424142,0,1,2025,0.51,1
TRX_000053,CUST_04988,2025-02-26,Mobile Phone,Samsung Galaxy A13,Samsung,South Korea,Premium,New,2184426,1,2184426,9.5,0.0,0.456,0.81,0.9,1.163,1.0,0.8,0.575,Physical Store,Cash,34,Female,Zanzibar,Muslim,Others,Primary,"500,001-1,000,000",Airtel Money,2,0.22,0.79,0.48,1.0,2184426,0,2,2025,0.53,1
TRX_000054,CUST_00087,2025-02-27,Mobile Phone,Samsung Galaxy S22,Samsung,South Korea,Premium,New,2149663,1,2149663,8.2,0.0,0.271,0.875,0.9,1.008,1.0,0.8,0.362,Physical Store,Mobile Money,23,Female,Mwanza,Muslim,Others,Secondary,"500,001-1,000,000",M-Pesa,4,0.35,0.8,0.33,1.0,2149663,0,2,2025,0.46,1
TRX_000055,CUST_00556,2024-11-10,Mobile Phone,Huawei Y7,Huawei,China,Premium,New,979423,1,979423,8.2,0.902,0.738,0.68,0.9,0.712,1.0,1.0,0.73,Physical Store,Cash,20,Male,Zanzibar,Muslim,Makonde,Secondary,">2,000,000",M-Pesa,3,0.36,0.12,0.9,0.5,979423,1,11,2024,0.7,0
TRX_000056,CUST_04410,2025-02-27,Mobile Phone,iPhone 11,Apple,USA,Premium,New,1109403,1,1109403,9.5,0.288,0.684,0.725,0.9,0.605,1.0,1.0,0.689,Physical Store,Cash,26,Female,Dar es Salaam,Muslim,Others,Secondary,"200,000-500,000",M-Pesa,4,0.05,0.77,0.72,0.5,1109403,0,2,2025,0.75,1
TRX_000057,CUST_03854,2025-01-06,Mobile Phone,Xiaomi Redmi Note 10,Xiaomi,China,Mid-Range,Used,251430,1,251430,5.8,0.422,0.255,0.575,1.0,0.566,0.6,1.0,0.496,Physical Store,Cash,40,Male,Mbeya,Christian,Others,No formal,"<200,000",M-Pesa,2,0.15,0.92,0.44,0.3,251430,0,1,2025,0.7,1
TRX_000058,CUST_02805,2025-01-09,Mobile Phone,Itel A25,Itel,China,Budget,New,181307,1,181307,6.6,0.0,0.244,0.655,0.9,0.626,1.0,1.0,0.482,Physical Store,Card,28,Female,Dar es Salaam,Muslim,Others,Secondary,"200,000-500,000",Tigo Pesa,3,0.31,0.95,0.37,0.5,181307,0,1,2025,0.76,1
TRX_000059,CUST_02039,2025-02-28,Mobile Phone,Itel A25,Itel,China,Budget,New,154431,1,154431,4.5,0.063,0.374,0.555,1.0,0.999,1.0,1.0,0.411,Online,Mobile Money,39,Male,Dar es Salaam,Christian,Sukuma,Diploma,"200,000-500,000",M-Pesa,2,0.11,0.91,0.83,0.0,154431,0,2,2025,0.64,1
TRX_000060,CUST_03287,2025-02-26,Mobile Phone,Huawei Y6,Huawei,China,Premium,New,1053891,1,1053891,9.1,0.614,0.373,0.755,0.9,0.634,1.0,1.0,0.961,Physical Store,Cash,15,Female,Mwanza,Muslim,Others,Secondary,"1,000,001-2,000,000",Airtel Money,2,0.51,0.44,0.41,0.5,1053891,0,2,2025,0.74,1
TRX_000061,CUST_00964,2025-02-25,Mobile Phone,Infinix Note 10,Infinix,China,Mid-Range,New,426723,1,426723,7.6,0.061,0.312,0.655,0.9,0.866,1.0,1.0,0.493,Mobile,Cash,36,Male,Zanzibar,Muslim,Sukuma,Primary,"<200,000",M-Pesa,1,0.11,0.88,0.41,0.5,426723,0,2,2025,0.77,1
TRX_000062,CUST_01910,2025-01-16,Mobile Phone,Tecno Spark 9,Tecno,China,Mid-Range,New,356190,1,356190,6.2,0.573,0.229,0.91,1.0,0.508,1.0,1.0,0.646,Physical Store,Mobile Money,30,Female,Dar es Salaam,Christian,Others,Primary,"500,001-1,000,000",M-Pesa,3,0.62,0.48,0.37,0.3,356190,0,1,2025,0.7,1
TRX_000063,CUST_00578,2025-01-18,Mobile Phone,Infinix Note 10,Infinix,China,Mid-Range,New,364068,1,364068,6.7,0.299,0.395,0.64,0.9,0.773,1.0,1.0,0.542,Physical Store,Mobile Money,30,Male,Dar es Salaam,Muslim,Others,Primary,"<200,000",Tigo Pesa,3,0.08,0.77,0.59,0.3,364068,1,1,2025,0.73,1
TRX_000064,CUST_00190,2025-02-26,Mobile Phone,Tecno Pop 5,Tecno,China,Mid-Range,New,569606,1,569606,7.7,0.373,0.547,0.955,0.9,0.695,1.0,1.0,0.585,Online,Cash,33,Male,Morogoro,Muslim,Haya,Secondary,"1,000,001-2,000,000",Halopesa,2,0.71,0.44,0.71,0.7,569606,0,2,2025,0.75,1
TRX_000065,CUST_04126,2025-02-13,Mobile Phone,Infinix Hot 10,Infinix,China,Mid-Range,New,270703,1,270703,6.1,0.486,0.311,0.785,1.0,0.677,1.0,1.0,0.688,Physical Store,Card,31,Male,Dar es Salaam,Christian,Sukuma,Primary,"200,000-500,000",Halopesa,4,0.37,0.76,0.51,0.3,270703,0,2,2025,0.71,1
TRX_000066,CUST_00437,2025-01-27,Mobile Phone,Infinix Note 10,Infinix,China,Mid-Range,New,342053,1,342053,6.8,0.273,0.415,0.78,0.9,0.78,1.0,1.0,0.562,Physical Store,Cash,21,Male,Tanga,Muslim,Others,Primary,"<200,000",M-Pesa,4,0.36,0.85,0.61,0.3,342053,0,1,2025,0.74,0
TRX_000067,CUST_04098,2025-01-15,Mobile Phone,Tecno Pop 5,Tecno,China,Mid-Range,Used,392711,1,392711,6.2,0.146,0.391,0.8,0.9,0.682,0.6,1.0,0.631,Physical Store,Cash,15,Male,Arusha,Muslim,Nyamwezi,Diploma,"200,000-500,000",M-Pesa,2,0.4,0.87,0.63,0.7,392711,0,1,2025,0.69,1
TRX_000068,CUST_04966,2025-02-17,Mobile Phone,iPhone 13,Apple,USA,Premium,New,1248014,1,1248014,10.0,0.022,0.47,0.89,1.0,1.147,1.0,0.8,0.602,Physical Store,Mobile Money,17,Female,Mwanza,Christian,Others,Secondary,"<200,000",Airtel Money,1,0.38,0.94,0.47,1.0,1248014,0,2,2025,0.75,1
TRX_000069,CUST_01624,2024-11-01,Mobile Phone,Infinix Hot 11,Infinix,China,Mid-Range,New,561733,1,561733,6.3,0.129,0.22,0.89,1.0,0.667,1.0,1.0,0.507,Physical Store,Mobile Money,38,Female,Arusha,Christian,Haya,No formal,"500,001-1,000,000",Tigo Pesa,4,0.58,0.62,0.35,0.5,561733,0,11,2024,0.67,1
TRX_000070,CUST_03489,2025-02-23,Mobile Phone,Huawei Y6,Huawei,China,Premium,New,1405094,1,1405094,8.9,0.696,0.774,0.81,0.9,0.78,1.0,1.0,0.666,Physical Store,Cash,15,Female,Zanzibar,Muslim,Others,Secondary,"1,000,001-2,000,000",Airtel Money,5,0.62,0.26,0.87,0.3,1405094,1,2,2025,0.65,1
TRX_000071,CUST_00035,2024-12-22,Mobile Phone,Huawei P30,Huawei,China,Premium,New,1052261,1,1052261,9.9,0.149,0.574,0.565,1.0,0.558,1.0,1.0,0.614,Physical Store,Cash,39,Male,Mwanza,Other,Others,No formal,"<200,000",M-Pesa,2,0.13,0.97,0.58,0.5,1052261,1,12,2024,0.78,1
TRX_000072,CUST_01494,2025-01-31,Mobile Phone,iPhone 14,Apple,USA,Premium,New,1397295,1,1397295,9.8,0.523,0.588,0.92,1.0,0.811,1.0,1.0,0.78,Physical Store,Cash,20,Female,Dar es Salaam,Christian,Others,Bachelor,"1,000,001-2,000,000",M-Pesa,4,0.44,0.41,0.6,0.5,1397295,0,1,2025,0.71,1
TRX_000073,CUST_03215,2024-12-11,Mobile Phone,Nokia 5.4,Nokia,Finland,Mid-Range,New,371680,1,371680,7.7,0.34,0.654,0.575,0.9,0.811,1.0,1.0,0.78,Physical Store,Cash,18,Female,Mwanza,Muslim,Others,Secondary,"<200,000",M-Pesa,3,0.15,0.71,0.85,0.3,371680,0,12,2024,0.79,1
